x1,x2,x3,t
-10.169553,-9.465966,29.937923,4.070000
-10.088304,-9.168841,30.081595,4.080000
-9.986111,-8.864255,30.183199,4.090000
-9.864497,-8.557152,30.242163,4.100000
-9.725304,-8.252308,30.258740,4.110000
-9.570639,-7.954200,30.233944,4.120000
-9.402816,-7.666899,30.169462,4.130000
-9.224293,-7.393988,30.067550,4.140000
-9.037610,-7.138507,29.930912,4.150000
-8.845324,-6.902933,29.762594,4.160000
-8.649962,-6.689181,29.565864,4.170000
-8.453963,-6.498630,29.344114,4.180000
-8.259643,-6.332164,29.100769,4.190000
-8.069158,-6.190229,28.839218,4.200000
-7.884484,-6.072890,28.562753,4.210000
-7.707398,-5.979904,28.274529,4.220000
-7.539475,-5.910775,27.977536,4.230000
-7.382080,-5.864823,27.674583,4.240000
-7.236379,-5.841236,27.368294,4.250000
-7.103345,-5.839115,27.061113,4.260000
-6.983769,-5.857521,26.755309,4.270000
-6.878278,-5.895501,26.452994,4.280000
-6.787349,-5.952117,26.156135,4.290000
-6.711326,-6.026461,25.866578,4.300000
-6.650434,-6.117668,25.586059,4.310000
-6.604799,-6.224918,25.316228,4.320000
-6.574457,-6.347434,25.058662,4.330000
-6.559370,-6.484483,24.814884,4.340000
-6.559435,-6.635360,24.586372,4.350000
-6.574493,-6.799378,24.374574,4.360000
-6.604335,-6.975849,24.180916,4.370000
-6.648704,-7.164071,24.006810,4.380000
-6.707301,-7.363303,23.853653,4.390000
-6.779782,-7.572741,23.722833,4.400000
-6.865754,-7.791501,23.615720,4.410000
-6.964774,-8.018586,23.533663,4.420000
-7.076338,-8.252868,23.477975,4.430000
-7.199878,-8.493058,23.449916,4.440000
-7.334745,-8.737685,23.450673,4.450000
-7.480205,-8.985073,23.481328,4.460000
-7.635422,-9.233323,23.542827,4.470000
-7.799449,-9.480302,23.635938,4.480000
-7.971213,-9.723628,23.761205,4.490000
-8.149505,-9.960682,23.918894,4.500000
-8.332971,-10.188606,24.108940,4.510000
-8.520103,-10.404338,24.330888,4.520000
-8.709237,-10.604640,24.583830,4.530000
-8.898551,-10.786157,24.866355,4.540000
-9.086077,-10.945478,25.176494,4.550000
-9.269708,-11.079228,25.511680,4.560000
-9.447224,-11.184165,25.868728,4.570000
-9.616316,-11.257291,26.243827,4.580000
-9.774629,-11.295974,26.632561,4.590000
-9.919803,-11.298076,27.029958,4.600000
-10.049527,-11.262069,27.430569,4.610000
-10.161601,-11.187146,27.828574,4.620000
-10.253994,-11.073309,28.217923,4.630000
-10.324910,-10.921428,28.592495,4.640000
-10.372853,-10.733269,28.946276,4.650000
-10.396676,-10.511475,29.273545,4.660000
-10.395635,-10.259511,29.569054,4.670000
-10.369423,-9.981563,29.828196,4.680000
-10.318190,-9.682408,30.047143,4.690000
-10.242548,-9.367247,30.222954,4.700000
-10.143557,-9.041528,30.353639,4.710000
-10.022703,-8.710760,30.438180,4.720000
-9.881848,-8.380330,30.476507,4.730000
-9.723176,-8.055345,30.469442,4.740000
-9.549133,-7.740487,30.418602,4.750000
-9.362350,-7.439914,30.326282,4.760000
-9.165575,-7.157181,30.195328,4.770000
-8.961604,-6.895207,30.029000,4.780000
-8.753212,-6.656269,29.830839,4.790000
-8.543097,-6.442020,29.604546,4.800000
-8.333828,-6.253543,29.353877,4.810000
-8.127810,-6.091400,29.082552,4.820000
-7.927247,-5.955713,28.794185,4.830000
-7.734129,-5.846236,28.492233,4.840000
-7.550217,-5.762428,28.179965,4.850000
-7.377043,-5.703529,27.860437,4.860000
-7.215913,-5.668624,27.536490,4.870000
-7.067914,-5.656701,27.210752,4.880000
-6.933933,-5.666699,26.885648,4.890000
-6.814671,-5.697549,26.563418,4.900000
-6.710661,-5.748201,26.246136,4.910000
-6.622285,-5.817650,25.935730,4.920000
-6.549799,-5.904946,25.634003,4.930000
-6.493345,-6.009202,25.342660,4.940000
-6.452972,-6.129599,25.063320,4.950000
-6.428648,-6.265372,24.797543,4.960000
-6.420274,-6.415810,24.546840,4.970000
-6.427695,-6.580240,24.312693,4.980000
-6.450708,-6.758007,24.096564,4.990000
-6.489066,-6.948459,23.899905,5.000000
-6.542485,-7.150923,23.724166,5.010000
-6.610639,-7.364683,23.570796,5.020000
-6.693165,-7.588950,23.441245,5.030000
-6.789652,-7.822839,23.336959,5.040000
-6.899639,-8.065341,23.259368,5.050000
